"","ticker","name","cik","occurrence","date_added","date_removed","name_when_added","name_when_removed"
"1","MMM","3M",66740,1,NA,NA,NA,NA
"2","ABT","Abbott Laboratories",1800,1,NA,NA,NA,NA
"3","ABBV","AbbVie",1551152,1,2012-12-31,NA,"AbbVie",NA
"4","ABMD","Abiomed",815094,1,2018-05-31,2022-12-22,"Abiomed","Abiomed"
"5","ACN","Accenture",1467373,1,2011-07-05,NA,"Accenture",NA
"6","ATVI","Activision Blizzard",718877,1,2015-08-28,2023-10-18,"Activision Blizzard","Activision Blizzard"
"7","ADBE","Adobe",796343,1,NA,NA,NA,NA
"8","AMD","Advanced Micro Devices",2488,2,2017-03-20,NA,"Advanced Micro Devices",NA
"9","AAP","Advance Auto Parts",1158449,1,2015-07-08,2023-08-25,"Advance Auto Parts","Advance Auto Parts"
"10","AES","AES Corp",874761,1,NA,NA,NA,NA
"11","AFL","Aflac",4977,1,NA,NA,NA,NA
"12","A","Agilent Technologies",1090872,1,NA,NA,NA,NA
"13","APD","Air Products & Chemicals",2969,1,NA,NA,NA,NA
"14","AKAM","Akamai Technologies",1086222,1,NA,NA,NA,NA
"15","ALK","Alaska Air Group",766421,1,2016-05-13,2023-12-18,"Alaska Air Group","Alaska Air Group"
"16","ALB","Albemarle Corporation",915913,1,2016-07-01,NA,"Albemarle Corporation",NA
"17","ARE","Alexandria Real Estate Equities",1035443,1,2017-03-20,NA,"Alexandria Real Estate Equities",NA
"18","ALGN","Align Technology",1097149,1,2017-06-19,NA,"Align Technology",NA
"19","ALLE","Allegion",1579241,1,2013-12-02,NA,"Allegion",NA
"20","LNT","Alliant Energy",352541,1,2016-07-01,NA,"Alliant Energy Corp",NA
"21","ALL","Allstate Corp",899051,1,NA,NA,NA,NA
"22","GOOGL","Alphabet (Class A)",1652044,1,2014-04-03,NA,"Google",NA
"23","GOOG","Alphabet (Class C)",1652044,1,NA,NA,NA,NA
"24","MO","Altria Group",764180,1,NA,NA,NA,NA
"25","AMZN","Amazon",1018724,1,NA,NA,NA,NA
"26","AMCR","Amcor",1748790,1,NA,NA,NA,NA
"27","AEE","Ameren Corp",1002910,1,NA,NA,NA,NA
"28","AAL","American Airlines Group",6201,1,2015-03-23,2024-09-23,"American Airlines Group","American Airlines Group"
"29","AEP","American Electric Power",4904,1,NA,NA,NA,NA
"30","AXP","American Express",4962,1,NA,NA,NA,NA
"31","AIG","American International Group",5272,1,NA,NA,NA,NA
"32","AMT","American Tower",1053507,1,NA,NA,NA,NA
"33","AWK","American Water Works",1410636,1,2016-03-04,NA,"American Water Works",NA
"34","AMP","Ameriprise Financial",820027,1,NA,NA,NA,NA
"35","ABC","AmerisourceBergen",1140859,1,NA,NA,NA,NA
"36","AME","Ametek",1037868,1,2013-09-20,NA,"Ametek",NA
"37","AMGN","Amgen",318154,1,NA,NA,NA,NA
"38","APH","Amphenol Corp",820313,1,NA,NA,NA,NA
"39","ADI","Analog Devices",6281,1,NA,NA,NA,NA
"40","ANSS","Ansys",1013462,1,2017-06-19,2025-07-18,"Ansys","Ansys"
"41","ANTM","Anthem",1156039,1,NA,NA,NA,NA
"42","AON","Aon",315293,1,NA,NA,NA,NA
"43","AOS","A. O. Smith",91142,1,2017-07-26,NA,"AO Smith",NA
